20,23A,93.6
20,23H,102.0
20,21,35.1
21,20,35.1
21,23A,93.4
21,23H,62.3
21,23G,88.2
23A,20,93.6
23A,21,93.4
23A,23C,100.0
23A,23B,65.0
23A,23G,125.0
23A,23H,137.2
23C,23A,100.0
23C,23E,77.8
23C,23B,82.5
23C,23F,44.0
23C,27,54.6
23C,26,98.5
23B,23A,65.0
23B,23C,82.5
23B,23G,85.8
23B,26,88.5
23B,28,160.3
23B,23E,80.1
23B,23H,111.4
23B,23F,42.5
23B,27,42.9
23E,23B,81.0
23E,26,50.8
23E,23C,77.8
23E,24,84.1
23G,23H,44.4
23G,21,88.2
23G,36,84.8
23G,28,70.4
23G,23F,110.7
23G,23B,85.8
23G,23A,125.0
23G,27,94.4
23G,35,76.7
23H,36,54.2
23H,23G,44.4
23H,23B,111.4
23H,23A,137.3
23H,21,62.3
23H,20,102.0
23F,23B,42.5
23F,23C,44.0
23F,23G,110.7
23F,26,49.8
23F,27,26.5
23F,28,49.1
24,23E,84.1
24,26,76.1
24,29,115.4
24,30,111.2
24,61,114.2
24,60,184.1
28,35,78.6
28,33,38.1
28,34,58.1
28,29,51.7
28,27,54.0
28,23G,70.4
28,23F,49.1
28,23B,160.3
29,31,89.6
29,30,61.3
29,24,115.4
29,26,91.2
29,27,50.1
29,28,51.7
29,34,75.1
29,33,30.3
29,61,152.0
31,34,51.2
31,61,159.4
31,56,33.5
31,57,71.7
31,60,111.6
31,55,59.8
31,40,123.6
31,39,48.7
31,38,115.5
31,30,77.9
31,29,89.6
31,33,68.3
33,31,68.3
33,29,30.3
33,26,116.0
33,27,66.7
33,28,38.1
33,34,59.5
34,26,158.0
34,27,102.1
34,28,54.1
34,35,41.6
34,30,96.7
34,39,47.1
34,29,75.1
34,31,51.2
34,33,39.5
35,34,41.6
35,36,76.7
35,37,56.0
35,38,65.6
35,23G,76.7
35,28,78.6
37,38,50.3
37,39,83.5
37,35,56.0
38,39,68.1
38,31,115.5
38,35,65.6
38,37,50.3
26,27,45.8
26,24,76.1
26,29,91.2
26,33,116.6
26,34,158.0
26,23B,88.5
26,23F,49.8
26,23E,50.8
26,23C,98.5
27,34,102.1
27,33,66.7
27,29,50.1
27,26,45.8
27,23C,54.6
27,23F,26.5
27,23B,42.9
27,23G,94.4
27,28,42.9
61,30,102.2
61,31,159.4
61,60,94.0
61,24,114.2
61,29,152.0
60,30,103.0
60,61,94.0
60,24,184.1
60,31,111.6
60,56,87.0
60,57,55.6
60,58,69.7
60,59,115.5
59,60,115.5
59,58,77.5
59,54,98.5
59,50,83.4
59,46,214.6
59,49,212.0
50,58,120.6
50,59,83.4
50,54,117.0
50,53,82.5
50,51,54.0
50,49,70.7
50,48,70.0
50,46,135.2
51,52,38.7
51,50,54.0
51,49,99.2
51,53,59.9
53,52,70.0
53,54,65.6
53,40,59.6
53,42,71.2
53,51,59.9
53,50,82.5
52,48,80.7
52,42,63.6
52,43,62.6
52,53,70.0
52,51,38.7
54,53,65.6
54,40,61.6
54,41,113.1
54,55,60.1
54,58,56.4
54,59,98.5
55,57,57.6
55,58,67.3
55,54,60.1
55,56,46.7
55,31,59.8
56,57,36.8
56,55,46.7
56,31,33.5
56,60,87.0
57,56,36.8
57,60,55.6
57,58,45.3
57,55,57.6
57,31,71.7
42,41,95.0
42,40,85.0
42,43,92.2
42,53,71.2
42,52,63.6
45,47,75.0
45,48,136.5
45,78,144.0
45,82,94.0
45,44,144.3
45,46,77.0
78,82,45.0
78,45,144.0
78,48,97.4
82,44,214.7
82,45,94.0
82,47,55.7
82,48,77.0
82,78,45.0
46,47,42.8
46,45,77.0
46,48,88.8
46,49,77.2
46,59,214.0
46,50,135.2
48,43,76.7
48,52,80.7
48,50,70.0
48,49,72.0
48,46,88.8
48,47,61.0
48,45,136.5
48,82,77.0
48,78,97.4
49,48,72.0
49,46,77.2
49,59,212.0
49,50,70.7
49,51,99.2
47,82,55.7
47,45,75.0
47,48,61.0
47,46,42.8
44,45,144.3
44,82,214.7
43,48,76.7
43,52,62.6
43,42,92.9
41,54,113.1
41,42,95.0
40,42,85.0
40,53,69.6
40,54,61.6
40,31,123.6
30,24,111.2
30,61,102.2
30,60,103.0
30,29,61.3
30,34,96.7
30,31,77.9
36,23H,54.2
36,35,76.7
36,23G,84.8
39,38,68.1
39,37,83.5
39,34,47.1
39,31,48.7
